"","group_id","desc","varname"
"1","1","BCL6-HDAC4 complex","BCL6"
"2","1","BCL6-HDAC4 complex","HDAC4"
"12286","1","BCL6-HDAC4 complex","BCL5"
"12287","1","BCL6-HDAC4 complex","LAZ3"
"12288","1","BCL6-HDAC4 complex","ZBTB27"
"12289","1","BCL6-HDAC4 complex","ZNF51"
"12290","1","BCL6-HDAC4 complex","KIAA0288"
"11","10","Condensin I complex","SMC2"
"12","10","Condensin I complex","NCAPH"
"13","10","Condensin I complex","NCAPD2"
"14","10","Condensin I complex","NCAPG"
"15","10","Condensin I complex","SMC4"
"12313","10","Condensin I complex","CAPE"
"12314","10","Condensin I complex","SMC2L1"
"12315","10","Condensin I complex","BRRN"
"12316","10","Condensin I complex","BRRN1"
"12317","10","Condensin I complex","CAPH"
"12318","10","Condensin I complex","KIAA0074"
"12319","10","Condensin I complex","CAPD2"
"12320","10","Condensin I complex","CNAP1"
"12321","10","Condensin I complex","KIAA0159"
"12322","10","Condensin I complex","CAPG"
"12323","10","Condensin I complex","NYMEL3"
"12324","10","Condensin I complex","CAPC"
"12325","10","Condensin I complex","SMC4L1"
"248","100","hNURF complex","SMARCA1"
"249","100","hNURF complex","RBBP4"
"250","100","hNURF complex","BPTF"
"251","100","hNURF complex","RBBP7"
"12802","100","hNURF complex","SNF2L"
"12803","100","hNURF complex","SNF2L1"
"12804","100","hNURF complex","RBAP48"
"12805","100","hNURF complex","FAC1"
"12806","100","hNURF complex","FALZ"
"12807","100","hNURF complex","RBAP46"
"3529","1000","TorsinA-TorsinB complex","TOR1A"
"3530","1000","TorsinA-TorsinB complex","TOR1B"
"20261","1000","TorsinA-TorsinB complex","DQ2"
"20262","1000","TorsinA-TorsinB complex","DYT1"
"20263","1000","TorsinA-TorsinB complex","TA"
"20264","1000","TorsinA-TorsinB complex","TORA"
"20265","1000","TorsinA-TorsinB complex","DQ1"
"3531","1003","RC complex (Replication competent complex)","POLA1"
"3532","1003","RC complex (Replication competent complex)","CCNA2"
"3533","1003","RC complex (Replication competent complex)","CDK2"
"3534","1003","RC complex (Replication competent complex)","RFC4"
"3535","1003","RC complex (Replication competent complex)","RFC2"
