Protein IDs,Compartment,Gene names,Normalized Map profiles,Fraction MAP1_01K,Fraction MAP1_03K,Fraction MAP1_06K,Fraction MAP1_12K,Fraction MAP1_24K,Fraction MAP1_80K,Fraction MAP2_01K,Fraction MAP2_03K,Fraction MAP2_06K,Fraction MAP2_12K,Fraction MAP2_24K,Fraction MAP2_80K,Fraction MAP3_01K,Fraction MAP3_03K,Fraction MAP3_06K,Fraction MAP3_12K,Fraction MAP3_24K,Fraction MAP3_80K,SVM predictions,Actin binding proteins,ER,Endosome,Ergic/ cisGolgi,Golgi,Large Protein Complex,Lysosome,Mitochondrion,Nuclear pore complex,Peroxisome,Plasma membrane,Protein IDs,Compartment Marker,Gene names,PredictionMax probability,Prediction Winner,Multiple Prediction Winners?,Classification,Confidence
Q92692,Plasma membrane,NECTIN2,,0.108145239,0.251612707,0.259939808,0.235036751,0.105921384,0.039344111,0.106358759,0.27924884,0.249902117,0.222933585,0.099463457,0.042093243,0.116231536,0.238942703,0.268365719,0.220419534,0.115601733,0.040438776,,0.001227232,0.001439077,0.001243492,0.001253232,0.001888342,0.000237364,0.000765704,0.000731527,0.000717107,0.000664562,0.989832362,Q92692,Plasma membrane,NECTIN2,0.990,Plasma membrane,no,Plasma membrane,Very High
Q969P0,Plasma membrane,IGSF8,,0.104022888,0.250967138,0.252079177,0.244042163,0.101173707,0.047714927,0.101602913,0.271175268,0.265372659,0.233744571,0.088710289,0.0393943,0.102931926,0.242545465,0.259169628,0.237200324,0.111674718,0.046477939,,0.001024996,0.001448922,0.001394741,0.001096103,0.001736668,0.000261744,0.000929306,0.000755065,0.000738818,0.000940596,0.98967304,Q969P0,Plasma membrane,IGSF8,0.990,Plasma membrane,no,Plasma membrane,Very High
P15151,Plasma membrane,PVR,,0.088981012,0.275359033,0.259766999,0.22955454,0.109168533,0.037169884,0.107297293,0.267914419,0.247130951,0.238408098,0.100296676,0.038952563,0.148413596,0.234102175,0.247772187,0.234707157,0.098256752,0.036748133,,0.00142883,0.001358621,0.001537923,0.001229361,0.001591832,0.000265742,0.000815208,0.000880096,0.000817908,0.000682141,0.989392338,P15151,Plasma membrane,PVR,0.989,Plasma membrane,no,Plasma membrane,Very High
P15529,Plasma membrane,CD46,,0.11625452,0.245252131,0.254803165,0.223829328,0.107583186,0.05227767,0.103109327,0.256278368,0.258339203,0.23109226,0.10329514,0.047885701,0.123392792,0.229687916,0.269290514,0.224200217,0.102353633,0.051074928,,0.001223531,0.002488386,0.001419389,0.001105299,0.001533958,0.000229158,0.000719099,0.000562862,0.000651529,0.000973448,0.989093341,P15529,Plasma membrane,CD46,0.989,Plasma membrane,no,Plasma membrane,Very High
Q9ULF5,undefined,SLC39A10,,0.108256632,0.254800141,0.268497791,0.22230118,0.101445472,0.044698784,0.109346708,0.274071096,0.256533363,0.218441032,0.093892608,0.047715194,0.121131913,0.248036124,0.256478726,0.226932702,0.103734849,0.043685686,,0.001396993,0.001549952,0.001126112,0.001234668,0.002338572,0.000269509,0.000767247,0.000866913,0.000686099,0.000673807,0.989090127,Q9ULF5, ,SLC39A10,0.989,Plasma membrane,no,Plasma membrane,Very High
Q13433,Plasma membrane,SLC39A6,,0.115826118,0.264762135,0.258648014,0.222638635,0.099518794,0.038606305,0.106494633,0.269651723,0.250940606,0.226803747,0.096374276,0.049735014,0.11655578,0.256777279,0.267911329,0.206003382,0.107157028,0.045595203,,0.001621298,0.001294802,0.001000763,0.001344952,0.002872229,0.000270115,0.000667321,0.000828797,0.000694306,0.000579686,0.988825731,Q13433,Plasma membrane,SLC39A6,0.989,Plasma membrane,no,Plasma membrane,Very High
P00533,Plasma membrane,EGFR,,0.106461607,0.258737962,0.269225314,0.22808493,0.102176775,0.035313412,0.108771272,0.277231823,0.259167058,0.222645031,0.094307686,0.03787713,0.11451173,0.23878968,0.274114739,0.229887277,0.106361356,0.036335218,,0.001127919,0.002111112,0.001454645,0.001011716,0.002110922,0.000244881,0.000887594,0.000897769,0.000763334,0.000843313,0.988546795,P00533,Plasma membrane,EGFR,0.989,Plasma membrane,no,Plasma membrane,Very High
Q9P2B2,undefined,PTGFRN,,0.095610309,0.238909585,0.25763022,0.234625188,0.122689149,0.05053555,0.097691456,0.245101776,0.248871506,0.24025102,0.116905994,0.051178249,0.102392474,0.229043846,0.26104196,0.224643173,0.126831873,0.056046674,,0.001130124,0.001791202,0.001808177,0.002143136,0.001640288,0.000282879,0.000811511,0.00064821,0.000730895,0.000916429,0.988097148,Q9P2B2, ,PTGFRN,0.988,Plasma membrane,no,Plasma membrane,Very High
P61225,undefined,RAP2B,,0.099200047,0.231552927,0.245851206,0.245317626,0.113006432,0.065071762,0.094547824,0.251231587,0.245289205,0.241783686,0.110622209,0.056525488,0.106723082,0.242405171,0.270233033,0.209287294,0.121921245,0.049430175,,0.001146736,0.001667069,0.001457779,0.002491518,0.001835574,0.00032313,0.000781116,0.00059237,0.000698765,0.000947144,0.988058799,P61225, ,RAP2B,0.988,Plasma membrane,no,Plasma membrane,Very High
Q6YHK3,Plasma membrane,CD109,,0.102251741,0.268889989,0.259008708,0.229015631,0.102818733,0.038015198,0.104008932,0.273354373,0.262062626,0.227988332,0.093564066,0.039021672,0.107643505,0.239897257,0.281190122,0.221413246,0.11288973,0.03696614,,0.001168738,0.001757574,0.001324714,0.001213468,0.002838576,0.000254275,0.000838535,0.000932413,0.000780505,0.00084221,0.988048992,Q6YHK3,Plasma membrane,CD109,0.988,Plasma membrane,no,Plasma membrane,Very High
P07948,undefined,LYN,,0.102446669,0.271578611,0.264136271,0.209921689,0.115885817,0.036030943,0.116514936,0.268828829,0.255310574,0.21988146,0.094419156,0.045045045,0.123200107,0.250155186,0.263556454,0.215951705,0.107144745,0.039991803,,0.001704767,0.001479787,0.001061321,0.001318257,0.003179156,0.000257192,0.000674074,0.001044915,0.000737791,0.00056971,0.987973031,P07948, ,LYN,0.988,Plasma membrane,no,Plasma membrane,Very High
P23458,undefined,JAK1,,0.106498352,0.236894252,0.26376102,0.222741899,0.11586388,0.054240598,0.103804394,0.254772555,0.258460917,0.223992461,0.101096533,0.057873141,0.11269454,0.23966221,0.268038683,0.219496683,0.106621224,0.05348666,,0.001237976,0.002541231,0.001272591,0.001685869,0.002229445,0.000299275,0.00081832,0.000724056,0.000654601,0.000932719,0.987603916,P23458, ,JAK1,0.988,Plasma membrane,no,Plasma membrane,Very High
P78310,Plasma membrane,CXADR,,0.109969289,0.2469452,0.269021904,0.218159139,0.108049829,0.047854639,0.100534873,0.26474316,0.256208201,0.238585987,0.094448234,0.045479546,0.115793882,0.225406113,0.270364647,0.228685691,0.109287813,0.050461854,,0.001121744,0.003371495,0.001476565,0.001212183,0.001761604,0.000250946,0.000818338,0.000698153,0.000716968,0.001073411,0.987498593,P78310,Plasma membrane,CXADR,0.987,Plasma membrane,no,Plasma membrane,Very High
P05187;P10696,undefined,ALPP;ALPG,,0.098423977,0.259883147,0.250295576,0.231372965,0.109974403,0.050049932,0.104517982,0.259515335,0.263929004,0.215808482,0.103312348,0.052916848,0.112542309,0.240795846,0.263700275,0.216302808,0.117877191,0.048781572,,0.001526157,0.001583806,0.001214714,0.002052989,0.003339736,0.000304212,0.000817616,0.000883457,0.000692006,0.000752421,0.986832885,P05187;P10696, ,ALPP;ALPG,0.987,Plasma membrane,no,Plasma membrane,Very High
O75144,undefined,ICOSLG,,0.108740392,0.240178865,0.277940093,0.209992852,0.117427312,0.045720486,0.126748744,0.233351774,0.229933988,0.230918536,0.113265134,0.065781824,0.125590923,0.255617249,0.235516583,0.214901466,0.118263473,0.050110306,,0.002047039,0.001790732,0.001716715,0.002186046,0.001952673,0.000430018,0.000737393,0.000954636,0.000777547,0.000588683,0.986818517,O75144, ,ICOSLG,0.987,Plasma membrane,no,Plasma membrane,Very High
P35052,undefined,GPC1,,0.12104971,0.267341924,0.261490423,0.210789906,0.098922696,0.040405342,0.130072721,0.280240314,0.257677315,0.20842499,0.079219707,0.044364953,0.141252625,0.241648203,0.258306556,0.217556234,0.102497593,0.038738791,,0.002584317,0.002114433,0.001351907,0.001005672,0.002381525,0.000306424,0.000918362,0.001099793,0.000769565,0.00066301,0.986804991,P35052, ,GPC1,0.987,Plasma membrane,no,Plasma membrane,Very High
